   step	 time	 cost	distance
  577	104.3	123.5	109.5
  578	104.7	123.9	109.9
  579	105.1	124.3	110.3
  580	105.4	124.7	110.7
  581	105.8	125.1	111.1
  582	106.2	125.5	111.5
  583	106.5	125.9	111.9
  584	106.9	126.3	112.3
  585	107.3	126.7	112.6
  586	107.6	127.1	113.0
  587	108.0	127.5	113.4
  588	108.4	127.9	113.8
  589	108.7	128.3	114.2
  590	109.1	128.6	114.6
  591	109.5	129.0	115.0
  592	109.9	129.4	115.4
  593	110.2	129.8	115.8
  594	110.6	130.2	116.2
  595	111.0	130.6	116.6
  596	111.4	131.0	117.0
  597	111.7	131.4	117.3
  598	112.1	131.8	117.7
  599	112.5	132.2	118.1
  600	112.9	132.6	118.5
  601	113.3	133.0	118.9
  602	113.6	133.4	119.3
  603	114.0	133.8	119.7
  604	114.4	134.2	120.1
  605	114.8	134.6	120.5
  606	115.2	135.0	120.9
  607	115.5	135.4	121.3
  608	115.9	135.8	121.7
  609	116.3	136.2	122.1
  610	116.7	136.6	122.6
  611	117.1	137.0	123.0
  612	117.5	137.4	123.4
  613	117.9	137.8	123.8
  614	118.3	138.2	124.2
  615	118.7	138.6	124.6
  616	119.0	139.0	125.0
  617	119.4	139.4	125.4
  618	119.8	139.8	125.8
  619	120.2	140.2	126.2
  620	120.6	140.6	126.6
  621	121.0	141.0	127.0
  622	121.4	141.5	127.4
  623	121.8	141.9	127.9
  624	122.2	142.3	128.3
  625	122.6	142.7	128.7
  626	123.0	143.1	129.1
  627	123.4	143.5	129.5
  628	123.8	143.9	129.9
  629	124.2	144.3	130.3
  630	124.6	144.7	130.7
  631	125.0	145.1	131.2
  632	125.4	145.5	131.6
  633	125.8	145.9	132.0
  634	126.2	146.3	132.4
  635	126.6	146.8	132.8
  636	127.1	147.2	133.2
  637	127.5	147.6	133.6
  638	127.9	148.0	134.1
  639	128.3	148.4	134.5
  640	128.7	148.8	134.9
  641	129.1	149.3	135.3
  642	129.5	149.7	135.7
  643	129.9	150.1	136.1
  644	130.3	150.5	136.6
  645	130.7	150.9	137.0
  646	131.2	151.3	137.4
  647	131.6	151.8	137.8
  648	132.0	152.2	138.3
  649	132.4	152.6	138.7
  650	132.8	153.1	139.1
  651	133.2	153.5	139.5
  652	133.6	153.9	139.9
  653	134.0	154.4	140.4
  654	134.4	154.8	140.8
  655	134.9	155.2	141.2
  656	135.3	155.6	141.6
  657	135.7	156.1	142.0
  658	136.1	156.5	142.5
  659	136.5	156.9	142.9
  660	136.9	157.4	143.3
  661	137.3	157.8	143.7
  662	137.8	158.2	144.2
  663	138.2	158.7	144.6
  664	138.6	159.1	145.0
  665	139.0	159.5	145.5
  666	139.4	160.0	145.9
  667	139.9	160.4	146.3
  668	140.3	160.9	146.7
  669	140.7	161.3	147.2
  670	141.1	161.7	147.6
  671	141.5	162.2	148.0
  672	142.0	162.6	148.5
  673	142.4	163.1	148.9
  674	142.8	163.5	149.3
  675	143.3	163.9	149.8
  676	143.7	164.4	150.2
  677	144.1	164.8	150.6
  678	144.5	165.3	151.1
  679	145.0	165.7	151.5
  680	145.4	166.1	152.0
  681	145.8	166.6	152.4
  682	146.3	167.0	152.8
  683	146.7	167.5	153.3
  684	147.1	167.9	153.7
  685	147.6	168.4	154.2
  686	148.0	168.8	154.6
  687	148.4	169.3	155.1
  688	148.9	169.7	155.5
  689	149.3	170.2	156.0
  690	149.7	170.6	156.4
  691	150.2	171.1	156.9
  692	150.6	171.5	157.3
  693	151.1	172.0	157.8
  694	151.5	172.4	158.2
  695	151.9	172.9	158.7
  696	152.4	173.4	159.1
  697	152.8	173.8	159.6
  698	153.2	174.3	160.0
  699	153.7	174.7	160.5
  700	154.1	175.2	160.9
  701	154.6	175.7	161.4
  702	155.0	176.1	161.8
  703	155.5	176.6	162.3
  704	155.9	177.1	162.7
  705	156.3	177.5	163.2
  706	156.8	178.0	163.6
  707	157.2	178.4	164.1
  708	157.7	178.9	164.6
  709	158.1	179.4	165.0
  710	158.6	179.8	165.5
  711	159.0	180.3	165.9
  712	159.5	180.8	166.4
  713	159.9	181.2	166.9
  714	160.4	181.7	167.3
  715	160.8	182.2	167.8
  716	161.3	182.6	168.3
  717	161.7	183.1	168.7
  718	162.2	183.6	169.2
  719	162.7	184.1	169.7
